timestamp,violation_type,claimed_total,actual_tokens,overstatement_factor,evidence_file
2026-05-04 01:55:45,FABRICATION_OVERSTATED,45,1,x,2026-05-04_015545_FABRICATION_OVERSTATED_45vs1.txt
2026-05-04 01:57:04,FABRICATION_UNDERSTATED,45,100,x,2026-05-04_015704_FABRICATION_UNDERSTATED_45vs100.txt
2026-05-04 01:57:43,VETO_EFF_MISSING,n/a,n/a,n/a,2026-05-04_015743_VETO_EFF_MISSING.txt
2026-05-04 01:58:01,FABRICATION_UNDERSTATED,45,128,x,2026-05-04_015801_FABRICATION_UNDERSTATED_45vs128.txt
2026-05-04 01:58:10,VETO_EFF_MISSING,n/a,n/a,n/a,2026-05-04_015810_VETO_EFF_MISSING.txt
2026-05-04 01:58:52,FABRICATION_OVERSTATED,200,13,15.3x,2026-05-04_015852_FABRICATION_OVERSTATED_200vs13.txt
2026-05-04 01:58:52,FABRICATION_OVERSTATED,200,1,200.0x,2026-05-04_015852_FABRICATION_OVERSTATED_200vs1.txt
2026-05-04 01:58:54,FABRICATION_OVERSTATED,200,1,200.0x,2026-05-04_015854_FABRICATION_OVERSTATED_200vs1.txt
2026-05-04 01:59:27,FABRICATION_OVERSTATED,200,67,2.9x,2026-05-04_015927_FABRICATION_OVERSTATED_200vs67.txt
2026-05-04 02:04:58,FABRICATION_UNDERSTATED,95,347,.2x,2026-05-04_020458_FABRICATION_UNDERSTATED_95vs347.txt
2026-05-04 02:07:10,VETO_EFF_MISSING,n/a,n/a,n/a,2026-05-04_020710_VETO_EFF_MISSING.txt
2026-05-04 02:08:12,VETO_EFF_MISSING,n/a,n/a,n/a,2026-05-04_020812_VETO_EFF_MISSING.txt
2026-05-04 02:14:01,FABRICATION_UNDERSTATED,95,334,.2x,2026-05-04_021401_FABRICATION_UNDERSTATED_95vs334.txt
2026-05-04 02:15:51,FABRICATION_UNDERSTATED,180,456,.3x,2026-05-04_021551_FABRICATION_UNDERSTATED_180vs456.txt
2026-05-04 02:16:26,FABRICATION_UNDERSTATED,200,408,.4x,2026-05-04_021626_FABRICATION_UNDERSTATED_200vs408.txt
2026-05-04 02:21:47,FABRICATION_UNDERSTATED,45,248,.1x,2026-05-04_022147_FABRICATION_UNDERSTATED_45vs248.txt
2026-05-04 02:22:24,FABRICATION_UNDERSTATED,95,465,.2x,2026-05-04_022224_FABRICATION_UNDERSTATED_95vs465.txt
2026-05-04 02:24:14,VETO_EFF_MISSING,n/a,n/a,n/a,2026-05-04_022414_VETO_EFF_MISSING.txt
2026-05-04 02:24:55,VETO_EFF_MISSING,n/a,n/a,n/a,2026-05-04_022455_VETO_EFF_MISSING.txt
